direction,setup_bar,entry_bar,entry,sl,tp,exit_bar,exit,r_multiple,outcome,entry_time,exit_time
short,2121,2126,47775.65,47797.803205131844,47706.35,2132,47797.803205131844,-1.0,loss,2024-01-08 07:56:00+00:00,2024-01-08 08:02:00+00:00
short,2152,2154,47783.0,47804.22569853369,47718.9,2160,47804.22569853369,-1.0,loss,2024-01-08 08:24:00+00:00,2024-01-08 08:30:00+00:00
short,2156,2158,47783.4,47802.2533591686,47722.75,2160,47802.2533591686,-1.0,loss,2024-01-08 08:28:00+00:00,2024-01-08 08:30:00+00:00
short,2161,2167,47792.45,47816.41098180418,47718.9,2182,47718.9,3.0695737178493023,win,2024-01-08 08:37:00+00:00,2024-01-08 08:52:00+00:00
short,2168,2172,47775.25,47782.72505417819,47746.55,2172,47746.55,3.839437055016054,win,2024-01-08 08:42:00+00:00,2024-01-08 08:42:00+00:00
short,2332,2334,47828.8,47845.02917018296,47772.75,2336,47845.02917018296,-1.0,loss,2024-01-09 05:09:00+00:00,2024-01-09 05:11:00+00:00
short,2341,2351,47871.75,47882.89831817278,47835.45,2364,47882.89831817278,-1.0,loss,2024-01-09 05:26:00+00:00,2024-01-09 05:39:00+00:00
short,2401,2406,47847.8,47868.71882201401,47783.5,2424,47783.5,3.0737868488460727,win,2024-01-09 06:21:00+00:00,2024-01-09 06:39:00+00:00
short,2445,2449,47815.525,47842.16371197102,47732.9,2453,47842.16371197102,-1.0,loss,2024-01-09 07:04:00+00:00,2024-01-09 07:08:00+00:00
short,2453,2455,47834.65,47879.03691438691,47694.7,2547,47694.7,3.152956269500916,win,2024-01-09 07:10:00+00:00,2024-01-09 08:42:00+00:00
short,2456,2469,47830.275,47838.20482946135,47806.4,2471,47838.20482946135,-1.0,loss,2024-01-09 07:24:00+00:00,2024-01-09 07:26:00+00:00
short,2662,2666,47227.4,47278.34850658371,47067.1,2669,47278.34850658371,-1.0,loss,2024-01-10 04:26:00+00:00,2024-01-10 04:29:00+00:00
short,2693,2696,47292.05,47354.70059035163,47067.1,2771,47354.70059035163,-1.0,loss,2024-01-10 04:56:00+00:00,2024-01-10 06:11:00+00:00
short,2734,2741,47247.575,47274.33678665557,47156.05,2744,47274.33678665557,-1.0,loss,2024-01-10 05:41:00+00:00,2024-01-10 05:44:00+00:00
short,2756,2767,47293.05,47322.1106617541,47171.0,2769,47322.1106617541,-1.0,loss,2024-01-10 06:07:00+00:00,2024-01-10 06:09:00+00:00
short,2807,2813,47256.25,47267.64814632745,47218.65,2819,47267.64814632745,-1.0,loss,2024-01-10 06:53:00+00:00,2024-01-10 06:59:00+00:00
short,2829,2838,47289.65,47308.81622850736,47230.55,2839,47230.55,3.083548752290963,win,2024-01-10 07:18:00+00:00,2024-01-10 07:19:00+00:00
short,2865,2868,47252.45,47277.3315605491,47171.0,2881,47277.3315605491,-1.0,loss,2024-01-10 07:48:00+00:00,2024-01-10 08:01:00+00:00
short,2880,2884,47250.85,47275.2546292413,47171.0,2905,47275.2546292413,-1.0,loss,2024-01-10 08:04:00+00:00,2024-01-10 08:25:00+00:00
