direction,setup_bar,entry_bar,entry,sl,tp,exit_bar,exit,r_multiple,outcome,entry_time,exit_time
long,122,126,48315.25,48300.426949633176,48368.65,141,48300.426949633176,-1.0,loss,2024-01-01 05:51:00+00:00,2024-01-01 06:06:00+00:00
long,521,539,47867.149999999994,47829.733715031696,48029.8,603,47829.733715031696,-1.0,loss,2024-01-02 06:29:00+00:00,2024-01-02 07:33:00+00:00
long,1100,1107,47713.45,47656.06399992483,47889.3,1147,47889.3,3.0643362452457104,win,2024-01-03 09:42:00+00:00,2024-01-04 04:07:00+00:00
short,1108,1113,47715.95,47734.41280851339,47657.45,1114,47734.41280851339,-1.0,loss,2024-01-03 09:48:00+00:00,2024-01-03 09:49:00+00:00
long,1285,1296,48106.9,48089.646568174656,48181.25,1297,48089.646568174656,-1.0,loss,2024-01-04 06:36:00+00:00,2024-01-04 06:37:00+00:00
short,1436,1439,48109.3,48118.12427872018,48081.15,1439,48081.15,3.1900624280649783,win,2024-01-04 08:59:00+00:00,2024-01-04 08:59:00+00:00
long,1563,1565,48279.4,48227.140770220874,48439.9,1585,48227.140770220874,-1.0,loss,2024-01-05 04:50:00+00:00,2024-01-05 05:10:00+00:00
short,1644,1663,48093.35,48127.135506950304,47962.35,1670,48127.135506950304,-1.0,loss,2024-01-05 06:28:00+00:00,2024-01-05 06:35:00+00:00
short,1669,1672,48100.35,48122.4477264153,48034.0,1684,48122.4477264153,-1.0,loss,2024-01-05 06:37:00+00:00,2024-01-05 06:49:00+00:00
short,1746,1751,48082.6,48103.936881579146,47962.35,1794,47962.35,5.635781384170087,win,2024-01-05 07:56:00+00:00,2024-01-05 08:39:00+00:00
long,1877,1887,48110.0,48073.634363589794,48221.3,1888,48073.634363589794,-1.0,loss,2024-01-08 03:57:00+00:00,2024-01-08 03:58:00+00:00
short,1921,1927,47969.35,47991.122962044254,47892.85,1934,47991.122962044254,-1.0,loss,2024-01-08 04:37:00+00:00,2024-01-08 04:44:00+00:00
short,2121,2126,47775.65,47797.803205131844,47706.35,2132,47797.803205131844,-1.0,loss,2024-01-08 07:56:00+00:00,2024-01-08 08:02:00+00:00
long,2169,2171,47765.5,47729.565663977395,47874.8,2182,47729.565663977395,-1.0,loss,2024-01-08 08:41:00+00:00,2024-01-08 08:52:00+00:00
long,2172,2180,47764.149999999994,47741.22090582888,47842.45,2182,47741.22090582888,-1.0,loss,2024-01-08 08:50:00+00:00,2024-01-08 08:52:00+00:00
long,2357,2372,47869.7,47837.70699900137,47969.85,2373,47837.70699900137,-1.0,loss,2024-01-09 05:47:00+00:00,2024-01-09 05:48:00+00:00
short,2401,2406,47847.8,47868.71882201401,47783.5,2424,47783.5,3.0737868488460727,win,2024-01-09 06:21:00+00:00,2024-01-09 06:39:00+00:00
long,2463,2467,47819.75,47811.70146997383,47844.9,2471,47844.9,3.124794206919828,win,2024-01-09 07:22:00+00:00,2024-01-09 07:26:00+00:00
long,2468,2472,47826.5,47813.27230582973,47869.95,2476,47813.27230582973,-1.0,loss,2024-01-09 07:27:00+00:00,2024-01-09 07:31:00+00:00
short,2493,2495,47842.3,47875.87460174682,47732.9,2544,47732.9,3.258415418445467,win,2024-01-09 07:50:00+00:00,2024-01-09 08:39:00+00:00
short,2496,2500,47836.65,47851.25243059325,47787.15,2501,47851.25243059325,-1.0,loss,2024-01-09 07:55:00+00:00,2024-01-09 07:56:00+00:00
long,2698,2700,47294.65,47253.169270459366,47455.0,2716,47253.169270459366,-1.0,loss,2024-01-10 05:00:00+00:00,2024-01-10 05:16:00+00:00
short,2734,2741,47247.575,47274.33678665557,47156.05,2744,47274.33678665557,-1.0,loss,2024-01-10 05:41:00+00:00,2024-01-10 05:44:00+00:00
short,2807,2813,47256.25,47267.64814632745,47218.65,2819,47267.64814632745,-1.0,loss,2024-01-10 06:53:00+00:00,2024-01-10 06:59:00+00:00
short,2865,2868,47252.45,47277.3315605491,47171.0,2881,47277.3315605491,-1.0,loss,2024-01-10 07:48:00+00:00,2024-01-10 08:01:00+00:00
short,2880,2884,47250.85,47275.2546292413,47171.0,2905,47275.2546292413,-1.0,loss,2024-01-10 08:04:00+00:00,2024-01-10 08:25:00+00:00
long,2937,2941,47316.15,47277.68505276373,47455.0,3000,47455.0,3.609780071895239,win,2024-01-10 09:01:00+00:00,2024-01-11 03:45:00+00:00
long,2977,2980,47355.7,47290.30158223457,47593.85,3000,47593.85,3.6415254089816576,win,2024-01-10 09:40:00+00:00,2024-01-11 03:45:00+00:00
short,3106,3108,47492.4,47514.73203703045,47408.7,3148,47514.73203703045,-1.0,loss,2024-01-11 05:33:00+00:00,2024-01-11 06:13:00+00:00
short,3121,3127,47483.75,47506.80651154251,47408.7,3146,47506.80651154251,-1.0,loss,2024-01-11 05:52:00+00:00,2024-01-11 06:11:00+00:00
short,3139,3144,47488.725000000006,47505.145604556805,47408.7,3146,47505.145604556805,-1.0,loss,2024-01-11 06:09:00+00:00,2024-01-11 06:11:00+00:00
long,3394,3402,47458.1,47438.53324773244,47520.9,3423,47520.9,3.209525992932799,win,2024-01-12 04:12:00+00:00,2024-01-12 04:33:00+00:00
short,3405,3407,47461.2,47481.755056114416,47390.55,3410,47481.755056114416,-1.0,loss,2024-01-12 04:17:00+00:00,2024-01-12 04:20:00+00:00
long,3619,3621,47735.95,47710.605839196855,47821.05,3638,47821.05,3.357775412688106,win,2024-01-12 07:51:00+00:00,2024-01-12 08:08:00+00:00
short,3691,3693,47798.9,47825.50616464223,47718.9,3696,47825.50616464223,-1.0,loss,2024-01-12 09:03:00+00:00,2024-01-12 09:06:00+00:00
long,3851,3858,48020.05,47996.89603928949,48094.8,3893,47996.89603928949,-1.0,loss,2024-01-15 05:33:00+00:00,2024-01-15 06:08:00+00:00
long,3966,3971,48133.75,48116.01314169913,48193.2,3972,48116.01314169913,-1.0,loss,2024-01-15 07:26:00+00:00,2024-01-15 07:27:00+00:00
short,3978,3987,48137.95,48161.47010227095,48063.7,4020,48063.7,3.1568740282095673,win,2024-01-15 07:42:00+00:00,2024-01-15 08:15:00+00:00
short,3994,4002,48140.25,48156.404224404185,48090.55,4006,48090.55,3.076594626673763,win,2024-01-15 07:57:00+00:00,2024-01-15 08:01:00+00:00
long,4194,4198,48215.05,48189.60236216586,48303.7,4272,48189.60236216586,-1.0,loss,2024-01-16 04:58:00+00:00,2024-01-16 06:12:00+00:00
long,4240,4242,48269.5,48243.193692644665,48362.2,4249,48243.193692644665,-1.0,loss,2024-01-16 05:42:00+00:00,2024-01-16 05:49:00+00:00
short,4409,4413,48116.35,48141.49644120653,48034.0,4421,48141.49644120653,-1.0,loss,2024-01-16 08:33:00+00:00,2024-01-16 08:41:00+00:00
short,4725,4743,46298.3,46317.930118785305,46237.4,4754,46317.930118785305,-1.0,loss,2024-01-17 07:48:00+00:00,2024-01-17 07:59:00+00:00
long,4789,4801,46292.3,46231.95780956445,46641.7,4812,46231.95780956445,-1.0,loss,2024-01-17 08:46:00+00:00,2024-01-17 08:57:00+00:00
long,5223,5225,45663.45,45625.3228036194,45781.9,5228,45781.9,3.1067062686066396,win,2024-01-18 09:35:00+00:00,2024-01-18 09:38:00+00:00
long,5349,5351,46205.6,46169.499735390484,46329.8,5352,46169.499735390484,-1.0,loss,2024-01-19 05:26:00+00:00,2024-01-19 05:27:00+00:00
long,5393,5396,45988.5,45958.526130327926,46095.7,5400,45958.526130327926,-1.0,loss,2024-01-19 06:11:00+00:00,2024-01-19 06:15:00+00:00
short,5562,5570,45728.2,45749.60695582958,45661.6,5572,45661.6,3.1111382921604696,win,2024-01-19 09:05:00+00:00,2024-01-19 09:07:00+00:00
short,5612,5616,45707.1,45744.21210249722,45592.4,5624,45744.21210249722,-1.0,loss,2024-01-19 09:51:00+00:00,2024-01-19 09:59:00+00:00
long,5665,5668,45824.85,45787.14265566381,45944.05,5669,45787.14265566381,-1.0,loss,2024-01-20 04:28:00+00:00,2024-01-20 04:29:00+00:00
short,5687,5689,45847.0,45882.58898027785,45715.9,5691,45882.58898027785,-1.0,loss,2024-01-20 04:49:00+00:00,2024-01-20 04:51:00+00:00
short,5802,5806,45911.2,45925.63917590637,45859.7,5809,45925.63917590637,-1.0,loss,2024-01-20 06:46:00+00:00,2024-01-20 06:49:00+00:00
short,5809,5818,45909.6,45929.072973885384,45850.5,5822,45929.072973885384,-1.0,loss,2024-01-20 06:58:00+00:00,2024-01-20 07:02:00+00:00
