direction,setup_bar,entry_bar,entry,sl,tp,exit_bar,exit,r_multiple,outcome,entry_time,exit_time
short,340,357,1.47994,1.495888938264285,1.43073,361,1.495888938264285,-1.0,loss,2008-02-21 00:00:00+00:00,2008-02-26 00:00:00+00:00
short,450,452,1.55691,1.5857217546516829,1.46357,470,1.5857217546516829,-1.0,loss,2008-06-11 00:00:00+00:00,2008-07-02 00:00:00+00:00
short,468,477,1.57701,1.5848725873485545,1.55073,478,1.5848725873485545,-1.0,loss,2008-07-10 00:00:00+00:00,2008-07-11 00:00:00+00:00
short,540,542,1.44513,1.4885483586573145,1.30796,565,1.30796,3.159262676938887,win,2008-09-24 00:00:00+00:00,2008-10-21 00:00:00+00:00
long,709,715,1.3397,1.3208630369470848,1.42808,716,1.3208630369470848,-1.0,loss,2009-04-14 00:00:00+00:00,2009-04-15 00:00:00+00:00
short,942,955,1.4407899999999998,1.4466788837490838,1.42149,956,1.42149,3.277361351037341,win,2010-01-19 00:00:00+00:00,2010-01-20 00:00:00+00:00
short,1255,1263,1.33339,1.344270902592182,1.29685,1264,1.344270902592182,-1.0,loss,2011-01-13 00:00:00+00:00,2011-01-14 00:00:00+00:00
short,1264,1267,1.33142,1.346508270120129,1.27675,1268,1.346508270120129,-1.0,loss,2011-01-18 00:00:00+00:00,2011-01-19 00:00:00+00:00
long,1394,1398,1.42383,1.4141960886985987,1.45797,1401,1.4141960886985987,-1.0,loss,2011-06-20 00:00:00+00:00,2011-06-23 00:00:00+00:00
long,1401,1405,1.4333,1.41121965994142,1.50495,1416,1.41121965994142,-1.0,loss,2011-06-28 00:00:00+00:00,2011-07-11 00:00:00+00:00
short,1429,1431,1.43571,1.4539769063168897,1.3805,1458,1.4539769063168897,-1.0,loss,2011-07-28 00:00:00+00:00,2011-08-29 00:00:00+00:00
short,1434,1436,1.42301,1.4467558276166868,1.34628,1446,1.4467558276166868,-1.0,loss,2011-08-03 00:00:00+00:00,2011-08-15 00:00:00+00:00
short,1453,1461,1.4357,1.4513384524190895,1.38778,1467,1.38778,3.0642418262247557,win,2011-09-01 00:00:00+00:00,2011-09-08 00:00:00+00:00
long,1626,1632,1.314475,1.3068722898379437,1.34094,1647,1.3068722898379437,-1.0,loss,2012-03-19 00:00:00+00:00,2012-04-05 00:00:00+00:00
long,1653,1662,1.3170899999999999,1.3092926844952277,1.34094,1672,1.3092926844952277,-1.0,loss,2012-04-23 00:00:00+00:00,2012-05-04 00:00:00+00:00
short,1854,1861,1.29931,1.308300333931972,1.27055,1862,1.308300333931972,-1.0,loss,2012-12-11 00:00:00+00:00,2012-12-12 00:00:00+00:00
long,2073,2085,1.32799,1.3197682046287909,1.35357,2086,1.3197682046287909,-1.0,loss,2013-08-29 00:00:00+00:00,2013-08-30 00:00:00+00:00
short,2226,2228,1.36184,1.365788709431816,1.34772,2229,1.365788709431816,-1.0,loss,2014-02-12 00:00:00+00:00,2014-02-13 00:00:00+00:00
long,2716,2721,1.12434,1.1079086703122203,1.23209,2757,1.1079086703122203,-1.0,loss,2015-09-10 00:00:00+00:00,2015-10-22 00:00:00+00:00
long,3024,3027,1.11907,1.1125762619464097,1.13865,3043,1.1125762619464097,-1.0,loss,2016-09-02 00:00:00+00:00,2016-09-21 00:00:00+00:00
long,3029,3039,1.11824,1.1133009981115005,1.13425,3043,1.1133009981115005,-1.0,loss,2016-09-16 00:00:00+00:00,2016-09-21 00:00:00+00:00
long,3043,3054,1.12134,1.1117387299764907,1.15338,3057,1.1117387299764907,-1.0,loss,2016-10-04 00:00:00+00:00,2016-10-07 00:00:00+00:00
long,3165,3171,1.06677,1.0600408384708953,1.08734,3174,1.0600408384708953,-1.0,loss,2017-02-17 00:00:00+00:00,2017-02-21 00:00:00+00:00
short,3185,3188,1.05744,1.0646084769147752,1.03523,3189,1.0646084769147752,-1.0,loss,2017-03-09 00:00:00+00:00,2017-03-10 00:00:00+00:00
long,3523,3536,1.2292999999999998,1.221130606650831,1.25553,3538,1.221130606650831,-1.0,loss,2018-04-20 00:00:00+00:00,2018-04-23 00:00:00+00:00
short,3647,3661,1.16625,1.174075256311384,1.13705,3667,1.174075256311384,-1.0,loss,2018-09-13 00:00:00+00:00,2018-09-20 00:00:00+00:00
long,3773,3786,1.13739,1.1329803304755075,1.15338,3787,1.1329803304755075,-1.0,loss,2019-02-06 00:00:00+00:00,2019-02-07 00:00:00+00:00
long,3838,3840,1.12472,1.121032761402553,1.13663,3851,1.121032761402553,-1.0,loss,2019-04-10 00:00:00+00:00,2019-04-23 00:00:00+00:00
long,3918,3923,1.12187,1.1197366202276025,1.1285,3929,1.1197366202276025,-1.0,loss,2019-07-16 00:00:00+00:00,2019-07-23 00:00:00+00:00
short,3973,3982,1.1021299999999998,1.1092569392280136,1.08026,4003,1.1092569392280136,-1.0,loss,2019-09-23 00:00:00+00:00,2019-10-17 00:00:00+00:00
short,4172,4187,1.09344,1.1026585024200932,1.06357,4194,1.1026585024200932,-1.0,loss,2020-05-19 00:00:00+00:00,2020-05-27 00:00:00+00:00
short,4188,4190,1.09262,1.1006112177891298,1.06744,4194,1.1006112177891298,-1.0,loss,2020-05-22 00:00:00+00:00,2020-05-27 00:00:00+00:00
