direction,setup_bar,entry_bar,entry,sl,tp,exit_bar,exit,r_multiple,outcome,entry_time,exit_time
short,634,645,1.36043,1.362300252540605,1.35425,662,1.362300252540605,-1.0,loss,2014-01-09 22:00:00+00:00,2014-01-10 15:00:00+00:00
short,655,660,1.359955,1.3619953403346536,1.35275,662,1.3619953403346536,-1.0,loss,2014-01-10 13:00:00+00:00,2014-01-10 15:00:00+00:00
short,888,896,1.36896,1.3697840402241357,1.36554,900,1.3697840402241357,-1.0,loss,2014-01-24 09:00:00+00:00,2014-01-24 13:00:00+00:00
short,901,903,1.36724,1.3724314277791758,1.35162,1022,1.35162,3.008806182887862,win,2014-01-24 16:00:00+00:00,2014-01-31 15:00:00+00:00
short,942,950,1.36719,1.3683356843819108,1.36366,951,1.3683356843819108,-1.0,loss,2014-01-28 15:00:00+00:00,2014-01-28 16:00:00+00:00
short,970,975,1.36647,1.3685327749875682,1.35959,994,1.35959,3.335312887476424,win,2014-01-29 16:00:00+00:00,2014-01-30 11:00:00+00:00
short,980,991,1.365375,1.3674586406093447,1.35848,995,1.35848,3.3091119308566497,win,2014-01-30 08:00:00+00:00,2014-01-30 12:00:00+00:00
short,1160,1164,1.36237,1.364437407502369,1.35524,1168,1.364437407502369,-1.0,loss,2014-02-10 13:00:00+00:00,2014-02-10 17:00:00+00:00
short,1185,1189,1.36603,1.3683357828424103,1.35848,1212,1.35848,3.274375999826664,win,2014-02-11 14:00:00+00:00,2014-02-12 13:00:00+00:00
short,1277,1288,1.3706,1.3715527803392198,1.36728,1300,1.3715527803392198,-1.0,loss,2014-02-17 17:00:00+00:00,2014-02-18 05:00:00+00:00
long,1353,1358,1.37165,1.3683564409560605,1.38182,1455,1.3683564409560605,-1.0,loss,2014-02-20 15:00:00+00:00,2014-02-26 16:00:00+00:00
long,1362,1376,1.37124,1.3686478064011112,1.37936,1455,1.3686478064011112,-1.0,loss,2014-02-21 09:00:00+00:00,2014-02-26 16:00:00+00:00
long,2378,2381,1.37934,1.3788418179011253,1.38098,2383,1.3788418179011253,-1.0,loss,2014-04-22 07:00:00+00:00,2014-04-22 09:00:00+00:00
long,2383,2391,1.37964,1.3783492011419396,1.3844,2409,1.3844,3.6876388372024955,win,2014-04-22 17:00:00+00:00,2014-04-23 11:00:00+00:00
long,2647,2652,1.39256,1.3913713813131006,1.3966,2655,1.3913713813131006,-1.0,loss,2014-05-07 14:00:00+00:00,2014-05-07 17:00:00+00:00
short,2816,2822,1.37115,1.3727312168343764,1.36618,2846,1.3727312168343764,-1.0,loss,2014-05-16 16:00:00+00:00,2014-05-19 16:00:00+00:00
short,2840,2844,1.3709,1.372388125577121,1.36618,2845,1.372388125577121,-1.0,loss,2014-05-19 14:00:00+00:00,2014-05-19 15:00:00+00:00
short,2980,2982,1.36481,1.3662221479673902,1.36043,3012,1.36043,3.1016579715050026,win,2014-05-27 08:00:00+00:00,2014-05-28 14:00:00+00:00
