direction,setup_bar,entry_bar,entry,sl,tp,exit_bar,exit,r_multiple,outcome,entry_time,exit_time
short,634,645,1.36043,1.362300252540605,1.35425,662,1.362300252540605,-1.0,loss,2014-01-09 22:00:00+00:00,2014-01-10 15:00:00+00:00
short,655,660,1.359955,1.3619953403346536,1.35275,662,1.3619953403346536,-1.0,loss,2014-01-10 13:00:00+00:00,2014-01-10 15:00:00+00:00
short,719,721,1.36698,1.3681108017504366,1.36287,724,1.36287,3.634589350797643,win,2014-01-15 02:00:00+00:00,2014-01-15 05:00:00+00:00
short,755,764,1.361715,1.3628707297733058,1.35804,782,1.35804,3.179809056478898,win,2014-01-16 21:00:00+00:00,2014-01-17 15:00:00+00:00
short,888,894,1.36896,1.369792574181322,1.36554,895,1.369792574181322,-1.0,loss,2014-01-24 07:00:00+00:00,2014-01-24 08:00:00+00:00
short,895,899,1.36818,1.3705304887646885,1.36095,900,1.3705304887646885,-1.0,loss,2014-01-24 12:00:00+00:00,2014-01-24 13:00:00+00:00
short,901,903,1.36724,1.3724314277791758,1.35162,1022,1.35162,3.008806182887862,win,2014-01-24 16:00:00+00:00,2014-01-31 15:00:00+00:00
short,942,950,1.36719,1.3683356843819108,1.36366,951,1.3683356843819108,-1.0,loss,2014-01-28 15:00:00+00:00,2014-01-28 16:00:00+00:00
short,970,975,1.36647,1.3685327749875682,1.35959,994,1.35959,3.335312887476424,win,2014-01-29 16:00:00+00:00,2014-01-30 11:00:00+00:00
short,980,988,1.365375,1.367474918903979,1.35848,995,1.35848,3.283460131215196,win,2014-01-30 05:00:00+00:00,2014-01-30 12:00:00+00:00
short,1104,1113,1.35298,1.3536912009412747,1.35067,1117,1.35067,3.2480271972924832,win,2014-02-06 10:00:00+00:00,2014-02-06 14:00:00+00:00
short,1160,1163,1.36237,1.3644381311563976,1.35524,1168,1.3644381311563976,-1.0,loss,2014-02-10 12:00:00+00:00,2014-02-10 17:00:00+00:00
short,1185,1189,1.36603,1.3683357828424103,1.35848,1212,1.35848,3.274375999826664,win,2014-02-11 14:00:00+00:00,2014-02-12 13:00:00+00:00
short,1262,1264,1.36909,1.3712565199766562,1.36248,1274,1.3712565199766562,-1.0,loss,2014-02-14 17:00:00+00:00,2014-02-17 03:00:00+00:00
short,1280,1292,1.37056,1.3715367258015447,1.36728,1300,1.3715367258015447,-1.0,loss,2014-02-17 21:00:00+00:00,2014-02-18 05:00:00+00:00
long,1353,1355,1.37165,1.3683496672660127,1.38182,1455,1.3683496672660127,-1.0,loss,2014-02-20 12:00:00+00:00,2014-02-26 16:00:00+00:00
long,1356,1358,1.37018,1.3688264409560604,1.37448,1361,1.3688264409560604,-1.0,loss,2014-02-20 15:00:00+00:00,2014-02-20 18:00:00+00:00
long,1362,1364,1.37116,1.3685954734874342,1.37936,1455,1.3685954734874342,-1.0,loss,2014-02-20 21:00:00+00:00,2014-02-26 16:00:00+00:00
long,1399,1404,1.37377,1.3730014155442392,1.37616,1405,1.3730014155442392,-1.0,loss,2014-02-24 13:00:00+00:00,2014-02-24 14:00:00+00:00
long,1405,1410,1.37354,1.3717456554744378,1.37936,1432,1.3717456554744378,-1.0,loss,2014-02-24 19:00:00+00:00,2014-02-25 17:00:00+00:00
long,1665,1676,1.38595,1.384715050029648,1.3897,1688,1.384715050029648,-1.0,loss,2014-03-11 21:00:00+00:00,2014-03-12 09:00:00+00:00
long,1722,1728,1.386345,1.384875956322374,1.39135,1734,1.384875956322374,-1.0,loss,2014-03-14 01:00:00+00:00,2014-03-14 07:00:00+00:00
long,1729,1737,1.38642,1.3855337745918952,1.38914,1739,1.38914,3.0691965894058786,win,2014-03-14 10:00:00+00:00,2014-03-14 12:00:00+00:00
long,2295,2297,1.3827,1.3804139392794468,1.3897,2354,1.3804139392794468,-1.0,loss,2014-04-16 19:00:00+00:00,2014-04-21 04:00:00+00:00
long,2378,2380,1.37934,1.3788398038935195,1.38098,2383,1.3788398038935195,-1.0,loss,2014-04-22 06:00:00+00:00,2014-04-22 09:00:00+00:00
long,2383,2391,1.37964,1.3783492011419396,1.3844,2409,1.3844,3.6876388372024955,win,2014-04-22 17:00:00+00:00,2014-04-23 11:00:00+00:00
long,2650,2653,1.39234,1.3909929969335937,1.3966,2661,1.3909929969335937,-1.0,loss,2014-05-07 15:00:00+00:00,2014-05-07 23:00:00+00:00
short,2800,2807,1.371245,1.373283839428332,1.36485,2847,1.373283839428332,-1.0,loss,2014-05-16 01:00:00+00:00,2014-05-19 17:00:00+00:00
short,2816,2822,1.37115,1.3727312168343764,1.36618,2846,1.3727312168343764,-1.0,loss,2014-05-16 16:00:00+00:00,2014-05-19 16:00:00+00:00
short,2840,2844,1.3709,1.372388125577121,1.36618,2845,1.372388125577121,-1.0,loss,2014-05-19 14:00:00+00:00,2014-05-19 15:00:00+00:00
short,2846,2850,1.37123,1.3728586280968411,1.36618,2893,1.36618,3.100769297665201,win,2014-05-19 20:00:00+00:00,2014-05-21 15:00:00+00:00
short,2980,2982,1.36481,1.3662221479673902,1.36043,3012,1.36043,3.1016579715050026,win,2014-05-27 08:00:00+00:00,2014-05-28 14:00:00+00:00
