direction,setup_bar,entry_bar,entry,sl,tp,exit_bar,exit,r_multiple,outcome,entry_time,exit_time
short,634,645,1.36043,1.362300252540605,1.35425,662,1.362300252540605,-1.0,loss,2014-01-09 22:00:00+00:00,2014-01-10 15:00:00+00:00
short,655,660,1.359955,1.3619953403346536,1.35275,662,1.3619953403346536,-1.0,loss,2014-01-10 13:00:00+00:00,2014-01-10 15:00:00+00:00
long,704,707,1.36647,1.3647050024793423,1.37205,722,1.3647050024793423,-1.0,loss,2014-01-14 12:00:00+00:00,2014-01-15 03:00:00+00:00
short,755,764,1.361715,1.3628707297733058,1.35804,782,1.35804,3.179809056478898,win,2014-01-16 21:00:00+00:00,2014-01-17 15:00:00+00:00
short,942,950,1.36719,1.3683356843819108,1.36366,951,1.3683356843819108,-1.0,loss,2014-01-28 15:00:00+00:00,2014-01-28 16:00:00+00:00
long,1287,1295,1.37054,1.3690252428775012,1.3767,1311,1.3767,4.06665854776615,win,2014-02-18 00:00:00+00:00,2014-02-18 16:00:00+00:00
long,1399,1404,1.37377,1.3730014155442392,1.37616,1405,1.3730014155442392,-1.0,loss,2014-02-24 13:00:00+00:00,2014-02-24 14:00:00+00:00
short,1855,1857,1.3775,1.3791609649749237,1.37251,1858,1.3791609649749237,-1.0,loss,2014-03-21 10:00:00+00:00,2014-03-21 11:00:00+00:00
long,2167,2169,1.3794,1.3778076674958477,1.3844,2179,1.3844,3.140047689136442,win,2014-04-09 11:00:00+00:00,2014-04-09 21:00:00+00:00
short,2407,2417,1.3817,1.3837444487898383,1.37549,2433,1.3837444487898383,-1.0,loss,2014-04-23 19:00:00+00:00,2014-04-24 11:00:00+00:00
short,2587,2594,1.38629,1.3882007448936835,1.38047,2605,1.3882007448936835,-1.0,loss,2014-05-05 04:00:00+00:00,2014-05-05 15:00:00+00:00
short,2800,2807,1.371245,1.373283839428332,1.36485,2847,1.373283839428332,-1.0,loss,2014-05-16 01:00:00+00:00,2014-05-19 17:00:00+00:00
short,2816,2822,1.37115,1.3727312168343764,1.36618,2846,1.3727312168343764,-1.0,loss,2014-05-16 16:00:00+00:00,2014-05-19 16:00:00+00:00
short,2840,2844,1.3709,1.372388125577121,1.36618,2845,1.372388125577121,-1.0,loss,2014-05-19 14:00:00+00:00,2014-05-19 15:00:00+00:00
short,2846,2850,1.37123,1.3728586280968411,1.36618,2893,1.36618,3.100769297665201,win,2014-05-19 20:00:00+00:00,2014-05-21 15:00:00+00:00
