direction,setup_bar,entry_bar,entry,sl,tp,exit_bar,exit,r_multiple,outcome,entry_time,exit_time
long,1259,1278,1.078595,1.0782178741871864,1.07991,1279,1.0782178741871864,-1.0,loss,2017-02-01 15:00:00+00:00,2017-02-01 15:15:00+00:00
long,1465,1468,1.07392,1.0726731296984853,1.0788,1472,1.0726731296984853,-1.0,loss,2017-02-03 14:30:00+00:00,2017-02-03 15:30:00+00:00
long,1566,1568,1.07339,1.070775627964142,1.08124,1570,1.070775627964142,-1.0,loss,2017-02-06 15:30:00+00:00,2017-02-06 16:00:00+00:00
long,1810,1823,1.06867,1.0677861515952252,1.07139,1824,1.0677861515952252,-1.0,loss,2017-02-09 07:15:00+00:00,2017-02-09 07:30:00+00:00
long,1824,1826,1.06827,1.067573592949967,1.07041,1828,1.067573592949967,-1.0,loss,2017-02-09 08:00:00+00:00,2017-02-09 08:30:00+00:00
long,1848,1853,1.06867,1.0673603939782408,1.07333,1856,1.0673603939782408,-1.0,loss,2017-02-09 14:45:00+00:00,2017-02-09 15:30:00+00:00
long,1922,1928,1.06542,1.0650297426049837,1.0666,1929,1.0650297426049837,-1.0,loss,2017-02-10 09:30:00+00:00,2017-02-10 09:45:00+00:00
long,1930,1939,1.0657,1.0635293572615778,1.07249,1946,1.0635293572615778,-1.0,loss,2017-02-10 12:15:00+00:00,2017-02-10 14:00:00+00:00
short,2139,2141,1.06212,1.06310056860131,1.05911,2150,1.05911,3.06964754529022,win,2017-02-14 14:45:00+00:00,2017-02-14 17:00:00+00:00
short,2388,2403,1.067195,1.0675144329674167,1.06611,2408,1.06611,3.396643774042259,win,2017-02-17 08:15:00+00:00,2017-02-17 09:30:00+00:00
short,2520,2530,1.06222,1.0625285420811603,1.06119,2534,1.0625285420811603,-1.0,loss,2017-02-20 16:00:00+00:00,2017-02-20 17:00:00+00:00
short,2998,3000,1.05816,1.0587443153244362,1.05637,3006,1.0587443153244362,-1.0,loss,2017-02-27 13:30:00+00:00,2017-02-27 15:00:00+00:00
short,3073,3081,1.05917,1.0596049775855407,1.05778,3084,1.05778,3.195566958402893,win,2017-02-28 09:45:00+00:00,2017-02-28 10:30:00+00:00
short,3096,3102,1.05936,1.0599821580713775,1.05749,3103,1.0599821580713775,-1.0,loss,2017-02-28 15:00:00+00:00,2017-02-28 15:15:00+00:00
short,3382,3384,1.05345,1.0545508315419205,1.05014,3385,1.0545508315419205,-1.0,loss,2017-03-03 13:30:00+00:00,2017-03-03 13:45:00+00:00
short,3583,3592,1.05728,1.0580728078534312,1.05442,3594,1.0580728078534312,-1.0,loss,2017-03-07 17:30:00+00:00,2017-03-07 18:00:00+00:00
short,3769,3775,1.05561,1.056613276520355,1.05256,3776,1.056613276520355,-1.0,loss,2017-03-09 15:15:00+00:00,2017-03-09 15:30:00+00:00
short,3833,3845,1.05942,1.0598067338577541,1.05822,3849,1.0598067338577541,-1.0,loss,2017-03-10 08:45:00+00:00,2017-03-10 09:45:00+00:00
