direction,setup_bar,entry_bar,entry,sl,tp,exit_bar,exit,r_multiple,outcome,entry_time,exit_time
long,46,48,1.0631,1.062056862087551,1.06751,66,1.062056862087551,-1.0,loss,2017-01-13 19:30:00+00:00,2017-01-16 00:00:00+00:00
short,325,335,1.06795,1.069000657885187,1.06401,336,1.069000657885187,-1.0,loss,2017-01-18 19:15:00+00:00,2017-01-18 19:30:00+00:00
short,615,620,1.073785,1.0745572359381363,1.0706,632,1.0745572359381363,-1.0,loss,2017-01-23 18:30:00+00:00,2017-01-23 21:30:00+00:00
long,861,863,1.07577,1.0752712949607157,1.07748,866,1.0752712949607157,-1.0,loss,2017-01-26 07:15:00+00:00,2017-01-26 08:00:00+00:00
short,974,979,1.06803,1.068996728641757,1.06401,983,1.068996728641757,-1.0,loss,2017-01-27 12:15:00+00:00,2017-01-27 13:15:00+00:00
short,1097,1101,1.06824,1.0693427885246285,1.06401,1103,1.0693427885246285,-1.0,loss,2017-01-30 18:45:00+00:00,2017-01-30 19:15:00+00:00
long,1810,1813,1.06856,1.067777610241003,1.07092,1824,1.067777610241003,-1.0,loss,2017-02-09 04:45:00+00:00,2017-02-09 07:30:00+00:00
short,1903,1908,1.06589,1.0667653940123571,1.06322,1946,1.06322,3.0500551321004914,win,2017-02-10 04:30:00+00:00,2017-02-10 14:00:00+00:00
short,1964,1970,1.06382,1.0653109285572644,1.05906,2026,1.0653109285572644,-1.0,loss,2017-02-10 20:00:00+00:00,2017-02-13 10:00:00+00:00
short,1972,1980,1.0635400000000002,1.065394661806359,1.05794,2026,1.065394661806359,-1.0,loss,2017-02-10 22:30:00+00:00,2017-02-13 10:00:00+00:00
short,3095,3097,1.05936,1.0604774923297247,1.05514,3098,1.0604774923297247,-1.0,loss,2017-02-28 13:45:00+00:00,2017-02-28 14:00:00+00:00
short,3098,3102,1.05942,1.0605921580713775,1.05514,3104,1.0605921580713775,-1.0,loss,2017-02-28 15:00:00+00:00,2017-02-28 15:30:00+00:00
long,3131,3133,1.05979,1.0585481236623338,1.06352,3134,1.0585481236623338,-1.0,loss,2017-02-28 22:45:00+00:00,2017-02-28 23:00:00+00:00
short,3496,3498,1.05965,1.060883076222458,1.0555,3659,1.0555,3.365566478710873,win,2017-03-06 18:00:00+00:00,2017-03-08 10:15:00+00:00
short,3537,3550,1.05791,1.058405904211039,1.05637,3552,1.058405904211039,-1.0,loss,2017-03-07 07:00:00+00:00,2017-03-07 07:30:00+00:00
short,3583,3592,1.05728,1.0580728078534312,1.05442,3594,1.0580728078534312,-1.0,loss,2017-03-07 17:30:00+00:00,2017-03-07 18:00:00+00:00
short,3593,3595,1.0572,1.0581359022295964,1.05427,3597,1.0581359022295964,-1.0,loss,2017-03-07 18:15:00+00:00,2017-03-07 18:45:00+00:00
long,3618,3626,1.05676,1.0563821257344597,1.05792,3635,1.0563821257344597,-1.0,loss,2017-03-08 02:00:00+00:00,2017-03-08 04:15:00+00:00
short,3629,3633,1.05686,1.0573771660427123,1.05514,3659,1.05514,3.3258177412019783,win,2017-03-08 03:45:00+00:00,2017-03-08 10:15:00+00:00
