dataset,n_major,min_rr,poi,trades,win_rate_pct,avg_R,profit_factor,total_R,max_dd_pct
EURUSD_D1,3,2.0,fvg,37,24.32,-0.197,0.74,-7.28,15.9
EURUSD_D1,3,2.0,ob,33,15.15,-0.531,0.375,-17.51,17.11
EURUSD_D1,3,3.0,fvg,36,13.89,-0.4,0.536,-14.4,15.75
EURUSD_D1,3,3.0,ob,32,9.38,-0.616,0.32,-19.72,19.84
EURUSD_D1,5,2.0,fvg,32,18.75,-0.404,0.502,-12.94,14.6
EURUSD_D1,5,2.0,ob,29,20.69,-0.349,0.56,-10.13,10.47
EURUSD_D1,5,3.0,fvg,32,9.38,-0.609,0.328,-19.5,19.83
EURUSD_D1,5,3.0,ob,29,10.34,-0.574,0.36,-16.64,15.65
EURUSD_D1,8,2.0,fvg,31,32.26,0.093,1.138,2.9,6.63
EURUSD_D1,8,2.0,ob,30,36.67,0.242,1.382,7.26,3.94
EURUSD_D1,8,3.0,fvg,30,20.0,-0.082,0.898,-2.45,10.47
EURUSD_D1,8,3.0,ob,28,25.0,0.108,1.144,3.03,8.65
