dataset,n_major,min_rr,poi,trades,win_rate_pct,avg_R,profit_factor,total_R,max_dd_pct
EURUSD_H1,3,2.0,fvg,15,40.0,0.451,1.752,6.77,4.9
EURUSD_H1,3,2.0,ob,18,55.56,0.879,2.977,15.82,3.94
EURUSD_H1,3,3.0,fvg,15,40.0,0.82,2.367,12.31,4.9
EURUSD_H1,3,3.0,ob,18,50.0,1.237,3.473,22.26,3.94
EURUSD_H1,5,2.0,fvg,6,33.33,0.007,1.011,0.04,1.99
EURUSD_H1,5,2.0,ob,9,33.33,0.07,1.105,0.63,3.94
EURUSD_H1,5,3.0,fvg,6,16.67,-0.312,0.625,-1.87,2.97
EURUSD_H1,5,3.0,ob,9,11.11,-0.542,0.391,-4.87,5.85
EURUSD_H1,8,2.0,fvg,10,50.0,0.752,2.504,7.52,3.94
EURUSD_H1,8,2.0,ob,9,33.33,0.121,1.182,1.09,3.94
EURUSD_H1,8,3.0,fvg,10,20.0,-0.115,0.856,-1.15,4.9
EURUSD_H1,8,3.0,ob,9,11.11,-0.504,0.433,-4.54,4.53
