dataset,n_major,min_rr,poi,trades,win_rate_pct,avg_R,profit_factor,total_R,max_dd_pct
NIFTY_D1,3,2.0,fvg,7,28.57,0.025,1.035,0.17,2.97
NIFTY_D1,3,2.0,ob,4,50.0,0.793,2.587,3.17,1.0
NIFTY_D1,3,3.0,fvg,7,28.57,0.186,1.26,1.3,2.97
NIFTY_D1,3,3.0,ob,4,50.0,1.076,3.151,4.3,1.0
NIFTY_D1,5,2.0,fvg,10,40.0,0.683,2.138,6.83,2.97
NIFTY_D1,5,2.0,ob,6,33.33,0.34,1.51,2.04,2.97
NIFTY_D1,5,3.0,fvg,9,44.44,1.094,2.97,9.85,2.97
NIFTY_D1,5,3.0,ob,5,40.0,0.957,2.595,4.78,1.99
NIFTY_D1,8,2.0,fvg,7,42.86,0.968,2.695,6.78,1.99
NIFTY_D1,8,2.0,ob,5,20.0,-0.164,0.795,-0.82,1.99
NIFTY_D1,8,3.0,fvg,7,42.86,1.118,2.956,7.83,1.99
NIFTY_D1,8,3.0,ob,5,20.0,-0.164,0.795,-0.82,1.99
